PERMNO,date,PRC,SHROUT
10107,20120131,29.53000,8390771
10107,20120229,31.74000,8390771
10107,20120330,32.25500,8400000
10107,20120430,32.01500,8400866
10107,20120531,29.19000,8400866
10107,20120629,30.59000,8381000
10107,20120731,29.47000,8383397
10107,20120831,30.82000,8383397
10107,20120928,29.76000,8422000
10107,20121031,28.54000,8416462
10107,20121130,26.61500,8416462
10107,20121231,26.70970,8374000
10107,20130131,27.45000,8376245
10107,20130228,27.80000,8376245
10107,20130328,28.60500,8349000
10107,20130430,33.10000,8351107
10107,20130531,34.90000,8351107
10107,20130628,34.54500,8328000
10107,20130731,31.84000,8329956
10107,20130830,33.40000,8329956
10107,20130930,33.28000,8346000
10107,20131031,35.40500,8347968
10107,20131129,38.13000,8347968
10107,20131231,37.41000,8300000
10107,20140131,37.84000,8300724
10107,20140228,38.31000,8300724
10107,20140331,40.99000,8260000
10107,20140430,40.40000,8260412
10107,20140530,40.94000,8260412
10107,20140630,41.70000,8239000
10107,20140731,43.16000,8239849
10107,20140829,45.43000,8239849
10107,20140930,46.36000,8255024
10107,20141031,46.95000,8242853
10107,20141128,47.81000,8242853
10107,20141231,46.45000,8218000
10107,20150130,40.40000,8203785
10107,20150227,43.85000,8203785
10107,20150331,40.65500,8113000
10107,20150430,48.64000,8089575
10107,20150529,46.86000,8089575
10107,20150630,44.15000,8027000
10107,20150731,46.70000,7997981
10107,20150831,43.52000,7997981
10107,20150930,44.26000,7986000
10107,20151030,52.64000,7987913
10107,20151130,54.35000,7987913
10107,20151231,55.48000,7925000
10107,20160129,55.09000,7909303
10107,20160229,50.88000,7909303
10107,20160331,55.23000,7870000
10107,20160429,49.87000,7860467
10107,20160531,53.00000,7860467
10107,20160630,51.17000,7808000
10107,20160729,56.68000,7792515
10107,20160831,57.46000,7792515
10107,20160930,57.60000,7779737
10107,20161031,59.92000,7775351
10107,20161130,60.26000,7775351
10107,20161230,62.14000,7775351
12490,20120131,192.60001,1160000
12490,20120229,196.73000,1158662
12490,20120330,208.64999,1158662
12490,20120430,207.08000,1153484
12490,20120531,192.89999,1153484
12490,20120629,195.58000,1153484
12490,20120731,195.98000,1142775
12490,20120831,194.85001,1142775
12490,20120928,207.45000,1142775
12490,20121031,194.53000,1129932
12490,20121130,190.07001,1129932
12490,20121231,191.55000,1129932
12490,20130131,203.07001,1129932
12490,20130228,200.83000,1114510
12490,20130328,213.30000,1114510
12490,20130430,202.53999,1108794
12490,20130531,208.02000,1108794
12490,20130628,191.11000,1108794
12490,20130731,195.03999,1095426
12490,20130830,182.27000,1095426
12490,20130930,185.17999,1095426
12490,20131031,179.21001,1085854
12490,20131129,179.67999,1085854
12490,20131231,187.57001,1085854
12490,20140131,176.67999,1085854
12490,20140228,185.17000,1041341
12490,20140331,192.49001,1041341
12490,20140430,196.47000,1012183
12490,20140530,184.36000,1012183
12490,20140630,181.27000,1012183
12490,20140731,191.67000,997592
12490,20140829,192.30000,997592
12490,20140930,189.83000,997592
12490,20141031,164.39999,989660
12490,20141128,162.17000,989660
12490,20141231,160.44000,989660
12490,20150130,153.31000,991000
12490,20150227,161.94000,988424
12490,20150331,160.50000,988424
12490,20150430,171.28999,984734
12490,20150529,169.64999,984734
12490,20150630,162.66000,984734
12490,20150731,161.99001,979530
12490,20150831,147.89000,979530
12490,20150930,144.97000,979530
12490,20151030,140.08000,970110
12490,20151130,139.42000,970110
12490,20151231,137.62000,970110
12490,20160129,124.79000,970110
12490,20160229,131.03000,960881
12490,20160331,151.45000,960881
12490,20160429,145.94000,959962
12490,20160531,153.74001,959962
12490,20160630,151.78000,959962
12490,20160729,160.62000,955844
12490,20160831,158.88000,955844
12490,20160930,158.85001,955844
12490,20161031,153.69000,950855
12490,20161130,162.22000,950855
12490,20161230,165.99001,950855
14593,20120131,456.48001,932370
14593,20120229,542.44000,932370
14593,20120330,599.54999,934982
14593,20120430,583.97998,935062
14593,20120531,577.72998,935062
14593,20120629,584.00000,937266
14593,20120731,610.76001,937406
14593,20120831,665.23999,937406
14593,20120928,667.10498,939208
14593,20121031,595.32001,940692
14593,20121130,585.28003,940692
14593,20121231,532.17291,938973
14593,20130131,455.48999,939058
14593,20130228,441.39999,939058
14593,20130328,442.66000,940094
